Position Sensor Motor1 Motor2 Inter1 Inter2 Inter3
# Phase 1
628.318 0 0.00292919 0.00493487 0.000598025 0.999469 4.07149e-06
628.318 0 0.00294103 0.00492434 0.000590382 0.999469 4.31239e-06
628.318 0 0.00295291 0.00491384 0.000582851 0.999469 4.56503e-06
628.318 0 0.00296484 0.00490337 0.000575431 0.999469 4.82983e-06
628.318 0 0.00297681 0.00489293 0.000568118 0.999469 5.10724e-06
628.318 0 0.00298882 0.00488251 0.000560912 0.999469 5.39769e-06
628.318 0 0.00300088 0.00487211 0.000553812 0.999468 5.70163e-06
628.318 0 0.00301298 0.00486175 0.000546814 0.999468 6.01954e-06
628.318 0 0.00302513 0.00485141 0.000539918 0.999468 6.35186e-06
628.318 0 0.00303732 0.00484109 0.000533122 0.999468 6.69908e-06
628.318 0 0.00304955 0.0048308 0.000526424 0.999468 7.06168e-06
628.318 0 0.00306183 0.00482054 0.000519822 0.999468 7.44015e-06
628.318 0 0.00307416 0.0048103 0.000513316 0.999468 7.83499e-06
628.318 0 0.00308653 0.00480009 0.000506904 0.999468 8.24669e-06
628.318 0 0.00309895 0.0047899 0.000500584 0.999468 8.67576e-06
628.318 0 0.00311141 0.00477974 0.000494354 0.999468 9.12273e-06
628.318 0 0.00312391 0.0047696 0.000488214 0.999468 9.58811e-06
628.318 0 0.00313647 0.00475949 0.000482161 0.999468 1.00724e-05
628.318 0 0.00314906 0.00474941 0.000476195 0.999468 1.05762e-05
628.317 0 0.00316171 0.00473935 0.000470314 0.999468 1.11e-05
628.317 0 0.0031744 0.00472931 0.000464517 0.999468 1.16444e-05
628.317 0 0.00318714 0.0047193 0.000458802 0.999468 1.22098e-05
628.317 0 0.00319992 0.00470932 0.000453168 0.999468 1.27969e-05
628.317 0 0.00321275 0.00469936 0.000447614 0.999468 1.34061e-05
628.317 0 0.00322562 0.00468942 0.000442138 0.999468 1.40382e-05
628.317 0 0.00323855 0.00467951 0.00043674 0.999468 1.46935e-05
628.317 0 0.00325152 0.00466962 0.000431418 0.999468 1.53727e-05
628.317 0 0.00326453 0.00465976 0.00042617 0.999468 1.60763e-05
628.317 0 0.0032776 0.00464993 0.000420997 0.999468 1.6805e-05
628.317 0 0.00329071 0.00464011 0.000415896 0.999468 1.75592e-05
628.317 0 0.00330387 0.00463033 0.000410866 0.999468 1.83395e-05
628.317 0 0.00331708 0.00462056 0.000405907 0.999467 1.91465e-05
628.317 0 0.00333033 0.00461082 0.000401016 0.999467 1.99808e-05
628.317 0 0.00334363 0.00460111 0.000396194 0.999467 2.0843e-05
628.317 0 0.00335698 0.00459142 0.000391439 0.999467 2.17335e-05
628.317 0 0.00337038 0.00458175 0.000386751 0.999467 2.2653e-05
628.317 0 0.00338383 0.00457211 0.000382127 0.999467 2.36021e-05
628.317 0 0.00339733 0.00456249 0.000377567 0.999467 2.45812e-05
628.317 0 0.00341087 0.00455289 0.00037307 0.999467 2.5591e-05
628.317 0 0.00342447 0.00454332 0.000368635 0.999467 2.66319e-05
628.317 0 0.00343811 0.00453377 0.000364261 0.999467 2.77047e-05
628.317 0 0.00345181 0.00452425 0.000359948 0.999467 2.88097e-05
628.317 0 0.00346555 0.00451475 0.000355694 0.999467 2.99476e-05
628.317 0 0.00347934 0.00450527 0.000351498 0.999467 3.11189e-05
628.316 0 0.00349318 0.00449582 0.000347359 0.999467 3.23242e-05
628.316 0 0.00350707 0.00448639 0.000343277 0.999467 3.35638e-05
628.316 0 0.00352101 0.00447698 0.000339251 0.999467 3.48385e-05
628.316 0 0.00353501 0.0044676 0.000335279 0.999467 3.61487e-05
628.316 0 0.00354905 0.00445824 0.000331362 0.999467 3.74948e-05
628.316 0 0.00356314 0.0044489 0.000327497 0.999467 3.88775e-05
628.316 0 0.00357728 0.00443959 0.000323685 0.999467 4.02972e-05
628.316 0 0.00359148 0.0044303 0.000319925 0.999467 4.17543e-05
628.316 0 0.00360572 0.00442103 0.000316216 0.999467 4.32495e-05
628.316 0 0.00362002 0.00441178 0.000312556 0.999467 4.47831e-05
628.316 0 0.00363437 0.00440256 0.000308946 0.999467 4.63556e-05
628.316 0 0.00364877 0.00439336 0.000305384 0.999467 4.79674e-05
628.316 0 0.00366322 0.00438418 0.00030187 0.999467 4.9619e-05
628.316 0 0.00367772 0.00437503 0.000298403 0.999466 5.13109e-05
628.316 0 0.00369228 0.0043659 0.000294983 0.999466 5.30434e-05
628.316 0 0.00370688 0.00435679 0.000291608 0.999466 5.4817e-05
628.316 0 0.00372154 0.0043477 0.000288279 0.999466 5.6632e-05
