Position Sensor Motor1 Motor2 Inter1 Inter2 Inter3
# Phase 1
628.317 0 6.82661e-05 0.0429636 1.99957e-05 0.0111541 0.999999
628.316 0 6.7874e-05 0.0431949 2.00479e-05 0.0110695 0.999999
628.315 0 6.74852e-05 0.0434273 2.01002e-05 0.0109858 0.999999
628.313 0 6.70996e-05 0.0436608 2.01526e-05 0.010903 1
628.312 0 6.67172e-05 0.0438953 2.02051e-05 0.0108209 1
628.311 0 6.63378e-05 0.0441308 2.02577e-05 0.0107396 1
628.309 0 6.59615e-05 0.0443674 2.03105e-05 0.0106591 1
628.308 0 6.55883e-05 0.0446051 2.03634e-05 0.0105794 1
628.307 0 6.52182e-05 0.0448439 2.04164e-05 0.0105004 1
628.305 0 6.4851e-05 0.0450837 2.04696e-05 0.0104222 1
628.304 0 6.44868e-05 0.0453246 2.05229e-05 0.0103448 1
628.303 0 6.41256e-05 0.0455666 2.05763e-05 0.0102681 1
628.301 0 6.37673e-05 0.0458097 2.06298e-05 0.0101922 1
628.3 0 6.34118e-05 0.0460538 2.06835e-05 0.010117 1
628.298 0 6.30593e-05 0.0462991 2.07373e-05 0.0100425 1
628.297 0 6.27095e-05 0.0465454 2.07912e-05 0.00996868 1
628.296 0 6.23626e-05 0.0467928 2.08453e-05 0.00989561 1
628.294 0 6.20185e-05 0.0470413 2.08994e-05 0.00982323 1
628.293 0 6.16772e-05 0.047291 2.09538e-05 0.00975154 1
628.291 0 6.13385e-05 0.0475417 2.10082e-05 0.00968053 1
628.29 0 6.10026e-05 0.0477935 2.10628e-05 0.0096102 1
628.289 0 6.06694e-05 0.0480465 2.11175e-05 0.00954054 1
628.287 0 6.03388e-05 0.0483006 2.11723e-05 0.00947153 1
628.286 0 6.00109e-05 0.0485558 2.12272e-05 0.00940319 1
628.284 0 5.96855e-05 0.0488121 2.12823e-05 0.00933548 1
628.283 0 5.93628e-05 0.0490695 2.13376e-05 0.00926842 1
628.281 0 5.90426e-05 0.0493281 2.13929e-05 0.00920199 1
628.28 0 5.8725e-05 0.0495878 2.14484e-05 0.00913619 1
628.278 0 5.84099e-05 0.0498486 2.1504e-05 0.009071 1
628.277 0 5.80973e-05 0.0501105 2.15598e-05 0.00900643 1
628.275 0 5.77871e-05 0.0503737 2.16156e-05 0.00894246 1
628.274 0 5.74794e-05 0.0506379 2.16716e-05 0.00887909 1
628.272 0 5.71742e-05 0.0509033 2.17278e-05 0.00881631 1
628.271 0 5.68713e-05 0.0511699 2.17841e-05 0.00875412 1
628.269 0 5.65708e-05 0.0514376 2.18405e-05 0.00869251 1
628.268 0 5.62727e-05 0.0517064 2.1897e-05 0.00863147 1
628.266 0 5.59769e-05 0.0519764 2.19537e-05 0.008571 1
628.264 0 5.56834e-05 0.0522476 2.20105e-05 0.00851109 1
628.263 0 5.53923e-05 0.05252 2.20674e-05 0.00845174 1
