Position Sensor Motor1 Motor2 Inter1 Inter2 Inter3
# Phase 1
628.289 0 6.05988e-07 1 1.16447e-07 0.00884948 1.49245e-05
628.259 0 6.07897e-07 1 1.17258e-07 0.00889298 1.49884e-05
628.229 0 6.09811e-07 1 1.18071e-07 0.00893668 1.50524e-05
628.199 0 6.11731e-07 1 1.18885e-07 0.00898057 1.51166e-05
628.169 0 6.13656e-07 1 1.19701e-07 0.00902467 1.51809e-05
628.139 0 6.15586e-07 1 1.20518e-07 0.00906897 1.52454e-05
628.109 0 6.17522e-07 1 1.21337e-07 0.00911347 1.53101e-05
628.079 0 6.19464e-07 1 1.22157e-07 0.00915818 1.53749e-05
628.049 0 6.21411e-07 1 1.22979e-07 0.00920309 1.544e-05
628.019 0 6.23363e-07 1 1.23802e-07 0.0092482 1.55051e-05
627.989 0 6.25321e-07 1 1.24626e-07 0.00929352 1.55705e-05
627.959 0 6.27285e-07 1 1.25452e-07 0.00933905 1.5636e-05
627.929 0 6.29254e-07 1 1.2628e-07 0.00938479 1.57016e-05
627.899 0 6.31228e-07 1 1.27108e-07 0.00943073 1.57674e-05
627.869 0 6.33208e-07 1 1.27939e-07 0.00947689 1.58334e-05
627.839 0 6.35194e-07 1 1.2877e-07 0.00952325 1.58996e-05
627.809 0 6.37185e-07 1 1.29603e-07 0.00956983 1.59659e-05
627.779 0 6.39182e-07 1 1.30437e-07 0.00961662 1.60324e-05
627.749 0 6.41185e-07 1 1.31272e-07 0.00966362 1.6099e-05
627.719 0 6.43193e-07 1 1.32108e-07 0.00971083 1.61658e-05
627.689 0 6.45206e-07 1 1.32946e-07 0.00975826 1.62328e-05
627.659 0 6.47226e-07 1 1.33784e-07 0.00980591 1.62999e-05
627.629 0 6.49251e-07 1 1.34624e-07 0.00985377 1.63672e-05
627.599 0 6.51281e-07 1 1.35465e-07 0.00990185 1.64347e-05
627.569 0 6.53318e-07 1 1.36307e-07 0.00995015 1.65023e-05
627.539 0 6.5536e-07 1 1.3715e-07 0.00999867 1.65701e-05
627.509 0 6.57407e-07 1 1.37994e-07 0.0100474 1.6638e-05
627.479 0 6.59461e-07 1 1.38839e-07 0.0100964 1.67061e-05
627.449 0 6.6152e-07 1 1.39685e-07 0.0101456 1.67744e-05
627.419 0 6.63585e-07 1 1.40532e-07 0.010195 1.68428e-05
627.389 0 6.65656e-07 1 1.4138e-07 0.0102446 1.69114e-05
627.359 0 6.67732e-07 1 1.42229e-07 0.0102944 1.69801e-05
627.329 0 6.69815e-07 1 1.43079e-07 0.0103445 1.7049e-05
627.299 0 6.71903e-07 1 1.43929e-07 0.0103948 1.71181e-05
627.269 0 6.73997e-07 1 1.44781e-07 0.0104454 1.71873e-05
627.239 0 6.76097e-07 1 1.45633e-07 0.0104961 1.72567e-05
627.209 0 6.78203e-07 1 1.46486e-07 0.0105471 1.73263e-05
627.179 0 6.80314e-07 1 1.4734e-07 0.0105983 1.7396e-05
627.149 0 6.82432e-07 1 1.48195e-07 0.0106498 1.74659e-05
627.119 0 6.84555e-07 1 1.4905e-07 0.0107015 1.75359e-05
627.089 0 6.86684e-07 1 1.49906e-07 0.0107534 1.76061e-05
627.059 0 6.8882e-07 1 1.50762e-07 0.0108056 1.76764e-05
627.029 0 6.90961e-07 1 1.5162e-07 0.010858 1.7747e-05
626.999 0 6.93108e-07 1 1.52477e-07 0.0109106 1.78176e-05
626.969 0 6.95261e-07 1 1.53336e-07 0.0109635 1.78885e-05
