Position Sensor Motor1 Motor2 Inter1 Inter2 Inter3
# Phase 1
628.319 0 1.12228e-07 0.000181236 4.27387e-05 1 0.00212751
628.319 0 1.11923e-07 0.000184964 4.27785e-05 1 0.00212445
628.319 0 1.11618e-07 0.000188762 4.28183e-05 1 0.0021214
628.319 0 1.11314e-07 0.000192632 4.28582e-05 1 0.00211835
628.319 0 1.11011e-07 0.000196575 4.28981e-05 1 0.00211531
628.318 0 1.10709e-07 0.000200593 4.2938e-05 1 0.00211228
628.318 0 1.10408e-07 0.000204686 4.29779e-05 1 0.00210925
628.318 0 1.10108e-07 0.000208857 4.30178e-05 1 0.00210623
628.318 0 1.09809e-07 0.000213105 4.30577e-05 1 0.00210321
628.318 0 1.09511e-07 0.000217434 4.30977e-05 1 0.0021002
628.318 0 1.09214e-07 0.000221843 4.31376e-05 1 0.0020972
628.318 0 1.08918e-07 0.000226335 4.31776e-05 1 0.0020942
628.318 0 1.08623e-07 0.00023091 4.32176e-05 1 0.00209121
628.318 0 1.08328e-07 0.000235571 4.32576e-05 1 0.00208822
628.318 0 1.08035e-07 0.000240319 4.32976e-05 1 0.00208524
628.318 0 1.07742e-07 0.000245154 4.33376e-05 1 0.00208226
628.318 0 1.07451e-07 0.000250079 4.33777e-05 1 0.0020793
628.318 0 1.0716e-07 0.000255095 4.34177e-05 1 0.00207633
628.318 0 1.06871e-07 0.000260204 4.34578e-05 1 0.00207338
628.318 0 1.06582e-07 0.000265407 4.34979e-05 1 0.00207042
628.318 0 1.06294e-07 0.000270706 4.3538e-05 1 0.00206748
628.318 0 1.06007e-07 0.000276102 4.35781e-05 1 0.00206454
628.318 0 1.05721e-07 0.000281597 4.36182e-05 1 0.0020616
628.318 0 1.05436e-07 0.000287192 4.36584e-05 1 0.00205868
628.318 0 1.05152e-07 0.00029289 4.36985e-05 1 0.00205575
628.318 0 1.04869e-07 0.000298692 4.37387e-05 1 0.00205284
628.318 0 1.04586e-07 0.000304599 4.37789e-05 1 0.00204993
628.318 0 1.04305e-07 0.000310614 4.38191e-05 1 0.00204702
628.318 0 1.04024e-07 0.000316738 4.38593e-05 1 0.00204412
628.318 0 1.03744e-07 0.000322973 4.38995e-05 1 0.00204123
628.318 0 1.03465e-07 0.000329321 4.39398e-05 1 0.00203834
628.318 0 1.03187e-07 0.000335783 4.398e-05 1 0.00203546
628.318 0 1.0291e-07 0.000342362 4.40203e-05 1 0.00203258
628.318 0 1.02634e-07 0.00034906 4.40606e-05 1 0.00202971
628.318 0 1.02359e-07 0.000355877 4.41009e-05 1 0.00202684
628.318 0 1.02084e-07 0.000362817 4.41412e-05 1 0.00202398
628.318 0 1.0181e-07 0.000369881 4.41815e-05 1 0.00202113
628.318 0 1.01538e-07 0.000377072 4.42218e-05 1 0.00201828
628.318 0 1.01266e-07 0.00038439 4.42622e-05 1 0.00201543
628.318 0 1.00995e-07 0.00039184 4.43025e-05 1 0.0020126
628.318 0 1.00725e-07 0.000399421 4.43429e-05 1 0.00200976
628.318 0 1.00455e-07 0.000407137 4.43833e-05 1 0.00200694
628.318 0 1.00187e-07 0.00041499 4.44237e-05 1 0.00200412
628.318 0 9.99189e-08 0.000422982 4.44641e-05 1 0.0020013
628.318 0 9.96521e-08 0.000431115 4.45046e-05 1 0.00199849
628.318 0 9.93861e-08 0.000439391 4.4545e-05 1 0.00199569
628.318 0 9.91209e-08 0.000447813 4.45855e-05 1 0.00199289
