Position Sensor Motor1 Motor2 Inter1 Inter2 Inter3
# Phase 1
628.317 0 0.0210028 0.0640999 0.999954 6.57695e-05 3.61496e-07
628.316 0 0.0214198 0.0627924 0.999954 6.59262e-05 3.62206e-07
628.315 0 0.0218432 0.0615112 0.999954 6.60835e-05 3.62912e-07
628.314 0 0.0222729 0.0602556 0.999955 6.62414e-05 3.63615e-07
628.313 0 0.0227091 0.0590254 0.999955 6.64e-05 3.64314e-07
628.312 0 0.0231518 0.0578199 0.999955 6.65593e-05 3.65009e-07
628.311 0 0.023601 0.0566388 0.999955 6.67192e-05 3.65701e-07
628.31 0 0.024057 0.0554817 0.999955 6.68797e-05 3.66389e-07
628.309 0 0.0245196 0.054348 0.999955 6.70409e-05 3.67074e-07
628.308 0 0.0249891 0.0532374 0.999956 6.72027e-05 3.67755e-07
628.307 0 0.0254654 0.0521494 0.999956 6.73651e-05 3.68432e-07
628.306 0 0.0259487 0.0510836 0.999956 6.75282e-05 3.69107e-07
628.306 0 0.026439 0.0500396 0.999956 6.76919e-05 3.69778e-07
628.305 0 0.0269364 0.0490169 0.999956 6.78562e-05 3.70445e-07
628.304 0 0.027441 0.0480153 0.999956 6.80212e-05 3.7111e-07
628.304 0 0.0279528 0.0470342 0.999956 6.81869e-05 3.7177e-07
628.303 0 0.0284719 0.0460732 0.999957 6.83531e-05 3.72428e-07
628.303 0 0.0289985 0.0451321 0.999957 6.852e-05 3.73083e-07
628.302 0 0.0295326 0.0442104 0.999957 6.86876e-05 3.73734e-07
628.302 0 0.0300742 0.0433077 0.999957 6.88557e-05 3.74382e-07
628.302 0 0.0306235 0.0424236 0.999957 6.90245e-05 3.75027e-07
628.301 0 0.0311805 0.0415579 0.999957 6.9194e-05 3.75669e-07
628.301 0 0.0317453 0.0407101 0.999958 6.93641e-05 3.76308e-07
628.301 0 0.032318 0.0398798 0.999958 6.95348e-05 3.76943e-07
628.301 0 0.0328988 0.0390668 0.999958 6.97062e-05 3.77576e-07
628.3 0 0.0334876 0.0382707 0.999958 6.98782e-05 3.78206e-07
628.3 0 0.0340846 0.0374911 0.999958 7.00509e-05 3.78832e-07
628.3 0 0.0346899 0.0367277 0.999958 7.02242e-05 3.79456e-07
628.3 0 0.0353035 0.0359802 0.999958 7.03981e-05 3.80076e-07
628.3 0 0.0359255 0.0352484 0.999959 7.05727e-05 3.80694e-07
628.3 0 0.0365561 0.0345317 0.999959 7.07479e-05 3.81309e-07
628.3 0 0.0371954 0.03383 0.999959 7.09238e-05 3.8192e-07
628.301 0 0.0378434 0.033143 0.999959 7.11003e-05 3.82529e-07
628.301 0 0.0385002 0.0324703 0.999959 7.12775e-05 3.83135e-07
628.301 0 0.039166 0.0318116 0.999959 7.14553e-05 3.83738e-07
628.301 0 0.0398408 0.0311667 0.999959 7.16338e-05 3.84338e-07
628.302 0 0.0405247 0.0305353 0.99996 7.18129e-05 3.84936e-07
628.302 0 0.0412179 0.0299171 0.99996 7.19927e-05 3.8553e-07
628.302 0 0.0419205 0.0293119 0.99996 7.21732e-05 3.86122e-07
628.303 0 0.0426325 0.0287193 0.99996 7.23543e-05 3.8671e-07
628.303 0 0.0433541 0.0281391 0.99996 7.25361e-05 3.87296e-07
628.304 0 0.0440854 0.027571 0.99996 7.27185e-05 3.87879e-07
628.304 0 0.0448265 0.0270149 0.99996 7.29016e-05 3.8846e-07
628.305 0 0.0455775 0.0264704 0.999961 7.30854e-05 3.89037e-07
628.305 0 0.0463386 0.0259373 0.999961 7.32698e-05 3.89612e-07
628.306 0 0.0471098 0.0254153 0.999961 7.34549e-05 3.90183e-07
628.307 0 0.0478913 0.0249043 0.999961 7.36407e-05 3.90752e-07
628.307 0 0.0486833 0.024404 0.999961 7.38272e-05 3.91319e-07
628.308 0 0.0494857 0.0239142 0.999961 7.40143e-05 3.91882e-07
628.309 0 0.0502988 0.0234346 0.999961 7.42022e-05 3.92443e-07
628.31 0 0.0511228 0.022965 0.999961 7.43907e-05 3.93e-07
628.311 0 0.0519576 0.0225053 0.999962 7.45799e-05 3.93555e-07
628.312 0 0.0528035 0.0220553 0.999962 7.47698e-05 3.94107e-07
628.313 0 0.0536607 0.0216146 0.999962 7.49604e-05 3.94657e-07
628.314 0 0.0545292 0.0211831 0.999962 7.51517e-05 3.95203e-07
