Position Sensor Motor1 Motor2 Inter1 Inter2 Inter3
# Phase 1
628.295 0 0.199132 0.999185 4.54757e-06 0.999372 1.79187e-07
628.271 0 0.198491 0.999184 4.53179e-06 0.99938 1.80101e-07
628.246 0 0.197852 0.999183 4.51606e-06 0.999389 1.81018e-07
628.222 0 0.197214 0.999182 4.50037e-06 0.999397 1.81937e-07
628.198 0 0.196577 0.999182 4.48472e-06 0.999405 1.82858e-07
628.174 0 0.195943 0.999181 4.46911e-06 0.999413 1.83781e-07
628.15 0 0.195309 0.99918 4.45354e-06 0.999421 1.84707e-07
628.126 0 0.194678 0.999179 4.43801e-06 0.999429 1.85635e-07
628.102 0 0.194048 0.999179 4.42253e-06 0.999436 1.86566e-07
628.078 0 0.19342 0.999178 4.40709e-06 0.999444 1.87498e-07
628.053 0 0.192793 0.999177 4.39169e-06 0.999451 1.88433e-07
628.029 0 0.192168 0.999176 4.37633e-06 0.999458 1.8937e-07
628.005 0 0.191545 0.999176 4.36102e-06 0.999465 1.9031e-07
627.981 0 0.190923 0.999175 4.34575e-06 0.999472 1.91251e-07
627.957 0 0.190303 0.999174 4.33052e-06 0.999479 1.92195e-07
627.932 0 0.189684 0.999173 4.31533e-06 0.999486 1.93141e-07
627.908 0 0.189067 0.999173 4.30018e-06 0.999492 1.9409e-07
627.884 0 0.188452 0.999172 4.28508e-06 0.999499 1.9504e-07
627.859 0 0.187838 0.999171 4.27002e-06 0.999505 1.95993e-07
627.835 0 0.187226 0.99917 4.255e-06 0.999512 1.96948e-07
627.811 0 0.186615 0.999169 4.24002e-06 0.999518 1.97906e-07
627.786 0 0.186006 0.999169 4.22508e-06 0.999524 1.98865e-07
627.762 0 0.185399 0.999168 4.21019e-06 0.99953 1.99827e-07
627.737 0 0.184793 0.999167 4.19534e-06 0.999535 2.00791e-07
627.713 0 0.184189 0.999166 4.18053e-06 0.999541 2.01757e-07
627.688 0 0.183586 0.999165 4.16576e-06 0.999547 2.02725e-07
627.664 0 0.182985 0.999165 4.15103e-06 0.999552 2.03695e-07
627.639 0 0.182386 0.999164 4.13635e-06 0.999558 2.04668e-07
627.615 0 0.181788 0.999163 4.12171e-06 0.999563 2.05643e-07
627.59 0 0.181192 0.999162 4.10711e-06 0.999568 2.0662e-07
627.566 0 0.180597 0.999161 4.09255e-06 0.999573 2.07599e-07
627.541 0 0.180004 0.999161 4.07803e-06 0.999578 2.0858e-07
627.517 0 0.179413 0.99916 4.06356e-06 0.999583 2.09563e-07
627.492 0 0.178823 0.999159 4.04912e-06 0.999588 2.10549e-07
627.467 0 0.178234 0.999158 4.03473e-06 0.999593 2.11536e-07
627.443 0 0.177648 0.999157 4.02039e-06 0.999598 2.12526e-07
627.418 0 0.177063 0.999156 4.00608e-06 0.999603 2.13518e-07
627.393 0 0.176479 0.999156 3.99181e-06 0.999607 2.14511e-07
627.369 0 0.175897 0.999155 3.97759e-06 0.999612 2.15507e-07
627.344 0 0.175317 0.999154 3.96341e-06 0.999616 2.16505e-07
627.319 0 0.174738 0.999153 3.94927e-06 0.99962 2.17505e-07
627.294 0 0.174161 0.999152 3.93517e-06 0.999625 2.18508e-07
627.27 0 0.173586 0.999151 3.92112e-06 0.999629 2.19512e-07
627.245 0 0.173012 0.999151 3.9071e-06 0.999633 2.20518e-07
627.22 0 0.172439 0.99915 3.89313e-06 0.999637 2.21527e-07
627.195 0 0.171868 0.999149 3.8792e-06 0.999641 2.22537e-07
627.17 0 0.171299 0.999148 3.86531e-06 0.999645 2.23549e-07
627.146 0 0.170731 0.999147 3.85146e-06 0.999649 2.24564e-07
627.121 0 0.170165 0.999146 3.83765e-06 0.999653 2.2558e-07
627.096 0 0.169601 0.999145 3.82389e-06 0.999657 2.26599e-07
627.071 0 0.169038 0.999144 3.81016e-06 0.99966 2.27619e-07
627.046 0 0.168476 0.999144 3.79648e-06 0.999664 2.28642e-07
627.021 0 0.167916 0.999143 3.78284e-06 0.999668 2.29666e-07
626.996 0 0.167358 0.999142 3.76924e-06 0.999671 2.30693e-07
626.971 0 0.166801 0.999141 3.75568e-06 0.999675 2.31721e-07
626.946 0 0.166246 0.99914 3.74216e-06 0.999678 2.32752e-07
626.921 0 0.165693 0.999139 3.72868e-06 0.999681 2.33784e-07
626.896 0 0.165141 0.999138 3.71525e-06 0.999685 2.34818e-07
