Position Sensor Motor1 Motor2 Inter1 Inter2 Inter3
# Phase 1
0.000514627 0 0.0189515 0.00179731 1.07285e-06 0.298345 0.999995
0.00102329 0 0.0187731 0.00181764 1.06934e-06 0.298001 0.999995
0.00152604 0 0.0185964 0.00183816 1.06584e-06 0.297656 0.999995
0.00202291 0 0.0184214 0.0018589 1.06235e-06 0.297312 0.999995
0.00251396 0 0.0182482 0.00187983 1.05888e-06 0.296968 0.999995
0.00299923 0 0.0180766 0.00190098 1.05542e-06 0.296623 0.999995
0.00347877 0 0.0179067 0.00192234 1.05197e-06 0.296279 0.999995
0.0039526 0 0.0177385 0.0019439 1.04854e-06 0.295936 0.999995
0.00442079 0 0.017572 0.00196568 1.04512e-06 0.295592 0.999995
0.00488337 0 0.017407 0.00198768 1.04171e-06 0.295248 0.999995
0.00534039 0 0.0172437 0.00200989 1.03832e-06 0.294905 0.999995
0.00579188 0 0.017082 0.00203232 1.03494e-06 0.294561 0.999995
0.00623789 0 0.0169219 0.00205497 1.03157e-06 0.294218 0.999995
0.00667845 0 0.0167633 0.00207784 1.02822e-06 0.293875 0.999995
0.00711361 0 0.0166063 0.00210093 1.02488e-06 0.293532 0.999995
0.00754341 0 0.0164508 0.00212425 1.02155e-06 0.293189 0.999995
0.00796788 0 0.0162969 0.0021478 1.01823e-06 0.292846 0.999995
0.00838707 0 0.0161444 0.00217157 1.01493e-06 0.292504 0.999995
0.008801 0 0.0159934 0.00219558 1.01164e-06 0.292161 0.999995
0.00920973 0 0.015844 0.00221982 1.00837e-06 0.291819 0.999995
0.00961327 0 0.0156959 0.00224429 1.0051e-06 0.291477 0.999995
0.0100117 0 0.0155493 0.002269 1.00185e-06 0.291134 0.999995
0.010405 0 0.0154042 0.00229395 9.98615e-07 0.290792 0.999995
0.0107932 0 0.0152605 0.00231914 9.9539e-07 0.290451 0.999995
0.0111764 0 0.0151181 0.00234457 9.92177e-07 0.290109 0.999995
0.0115546 0 0.0149772 0.00237024 9.88976e-07 0.289767 0.999995
0.0119279 0 0.0148376 0.00239616 9.85788e-07 0.289426 0.999995
